Question,Option A,Option B,Option C,Option D,Correct Answer,,
What is the central message of Judaism?,Messiah is coming,One God,Jesus is Savior,Karma,One God,,
What is the main Christian symbol?,Fish,Star,Cross,Moon,Cross,,
What was the miracle of Prophet Yunus?,Split the sea,Walked on fire,Survived inside a whale,Flew in the sky,Survived inside a whale,,
Who do Muslims face during prayer?,Jerusalem,Kaaba in Mecca,Medina,Mt. Sinai,Kaaba in Mecca,,
What is the Jewish book of songs and prayers?,Torah,Talmud,Genesis,Psalms,Psalms,,
What is the day of resurrection called in Islam?,Jumu’ah,Yawm al-Qiyamah,Eid,Hijrah,Yawm al-Qiyamah,,
Who anointed David as king?,Nathan,Samuel,Eli,Saul,Samuel,,
What does the term “Christian” literally mean?,Messenger,Believer,Anointed one,Follower of Christ,Follower of Christ,,
Which prophet’s mother was named Hannah?,Muhammad,Moses,Jesus,Samuel,Samuel,,
What is the holiest city in Islam?,Jerusalem,Mecca,Medina,Damascus,Mecca,,
Which language is the Torah originally written in?,Greek,Arabic,Hebrew,Latin,Hebrew,,
Who is the final prophet in Islam?,Isa,Musa,Ibrahim,Muhammad,Muhammad,,
What is the Jewish oral law called?,Torah,Quran,Talmud,Bible,Talmud,,
Which religion believes Jesus was crucified?,Islam,Hinduism,Christianity,Judaism,Christianity,,
What is the festival at the end of Ramadan?,Eid al-Adha,Yom Kippur,Eid al-Fitr,Hanukkah,Eid al-Fitr,,
Who do Christians believe is the Son of God?,Moses,Isaiah,Jesus,John,Jesus,,
What is the main theme of the book of Genesis?,Creation,Exodus,Laws,Warfare,Creation,,
What is the final book of the Christian Bible?,Genesis,Acts,Revelation,Hebrews,Revelation,,
What does IQ stand for?,Intelligence Quotient,Intellect Quality,Information Query,Intelligence Quality,Intelligence Quotient,,
Who developed the first intelligence test?,Sigmund Freud,Alfred Binet,Jean Piaget,Carl Jung,Alfred Binet,,
Which psychologist proposed multiple intelligences?,Howard Gardner,Daniel Goleman,B.F. Skinner,Jean Piaget,Howard Gardner,,
What type of intelligence involves understanding emotions?,Logical,Spatial,Emotional,Kinesthetic,Emotional,,
Which type of intelligence is linked to solving math problems?,Linguistic,Interpersonal,Logical-mathematical,Naturalistic,Logical-mathematical,,
What does EQ measure?,Emotional intelligence,Education quotient,Environmental quality,Ethical questions,Emotional intelligence,,
Which of these is a type of artificial intelligence?,Deep Learning,Photosynthesis,Digestion,Gravity,Deep Learning,,
What does AI stand for?,Artificial Intelligence,Authentic Input,Automated Interaction,Actual Interpretation,Artificial Intelligence,,
Which test measures emotional intelligence?,SAT,EQ-i,IQ test,LSAT,EQ-i,,
Who is known for the Stanford-Binet IQ test?,James Flynn,Robert Sternberg,Lewis Terman,David Wechsler,Lewis Terman,,
Which area of the brain is crucial for problem-solving?,Cerebellum,Prefrontal cortex,Occipital lobe,Temporal lobe,Prefrontal cortex,,
What is crystallized intelligence?,Problem-solving speed,Accumulated knowledge,Emotional awareness,Visual memory,Accumulated knowledge,,
Which intelligence relates to nature and animals?,Musical intelligence,Naturalistic intelligence,Intrapersonal intelligence,Spatial intelligence,Naturalistic intelligence,,
Who introduced the triarchic theory of intelligence?,Howard Gardner,Jean Piaget,Robert Sternberg,Alfred Binet,Robert Sternberg,,
What is a common tool to test IQ?,MRI,IQ Test,Thermometer,Barometer,IQ Test,,
Which intelligence type involves using body movements?,Spatial,Kinesthetic,Linguistic,Musical,Kinesthetic,,
Which is an application of AI in everyday life?,Cooking,Chatbots,Walking,Gardening,Chatbots,,
Which intelligence deals with self-awareness?,Interpersonal,Naturalistic,Intrapersonal,Linguistic,Intrapersonal,,
What is fluid intelligence?,Speed of learning new things,Emotional empathy,Memory capacity,Language fluency,Speed of learning new things,,
What is an example of interpersonal intelligence?,Writing poetry,Understanding others’ feelings,Solving puzzles,Composing music,Understanding others’ feelings,,
Which field uses AI for image recognition?,Psychology,Philosophy,Astronomy,Computer Vision,Computer Vision,,
What is the main goal of AI?,To mimic human emotion,To replicate biological functions,To perform tasks requiring human intelligence,To replace humans entirely,To perform tasks requiring human intelligence,,
Which intelligence type helps with painting and art?,Logical,Linguistic,Visual-Spatial,Bodily-kinesthetic,Visual-Spatial,,
What does the Turing Test measure?,Creativity,Emotional ability,Machine intelligence,Hearing ability,Machine intelligence,,
What is the term for the ability to think abstractly?,Cognitive skill,Concrete reasoning,Abstract intelligence,Verbal fluency,Cognitive skill,,
Which intelligence helps with composing music?,Musical,Kinesthetic,Interpersonal,Logical,Musical,,
Who proposed the idea of emotional intelligence?,Howard Gardner,Daniel Goleman,Alfred Binet,Robert Sternberg,Daniel Goleman,,
What is a neural network in AI inspired by?,DNA,Human brain,Nerves in plants,Animal instincts,Human brain,,
Which intelligence is used when solving mazes?,Musical,Linguistic,Visual-Spatial,Intrapersonal,Visual-Spatial,,
Which type of AI can learn and adapt?,Narrow AI,Reactive AI,General AI,Machine learning,Machine learning,,
Which intelligence helps athletes coordinate?,Musical,Logical,Kinesthetic,Intrapersonal,Kinesthetic,,
What is intelligence?,Raw memory,Ability to acquire and apply knowledge,Speed of talking,Ability to feel emotions,Ability to acquire and apply knowledge,,
What type of test is used to measure intelligence?,Aptitude test,Blood test,Vision test,Hearing test,Aptitude test,,
Which is not a type of intelligence in Gardner’s theory?,Linguistic,Mechanical,Musical,Logical-mathematical,Mechanical,,
What is machine learning a subset of?,Engineering,Art,Artificial Intelligence,History,Artificial Intelligence,,
Which intelligence helps understand maps?,Linguistic,Spatial,Musical,Emotional,Spatial,,
What is IQ 100 considered?,Low,Amazing,Genius,Average,Average,,
What is the Flynn effect?,IQ scores decline over time,IQ stays the same,IQ scores increase over generations,IQ is unmeasurable,IQ scores increase over generations,,
Which intelligence involves understanding music?,Logical,Musical,Interpersonal,Spatial,Musical,,
Which job needs high interpersonal intelligence?,Data entry,Solo artist,Therapist,Mathematician,Therapist,,
What is artificial general intelligence?,Narrow problem-solving,AI for games,Human-level AI,Robot arms,Human-level AI,,
What does cognitive mean?,Related to heart,Related to thinking,Related to walking,Related to digestion,Related to thinking,,
Which intelligence helps in learning languages?,Musical,Linguistic,Naturalistic,Kinesthetic,Linguistic,,
Which term describes a child with an IQ over 130?,Gifted,Average,Disabled,Delayed,Gifted,,
Which intelligence helps a counselor understand clients?,Logical,Intrapersonal,Interpersonal,Spatial,Interpersonal,,
Which of these is NOT a human intelligence?,Spatial,Mechanical,Musical,Linguistic,Mechanical,,
Who created the concept of IQ?,Carl Jung,Alfred Binet,Charles Darwin,Freud,Alfred Binet,,
What is the name for intelligence that handles logic and math?,Spatial,Naturalistic,Logical-mathematical,Musical,Logical-mathematical,,
Which test is commonly used to measure intelligence in adults?,Stanford-Binet,ACT,Wechsler Adult Intelligence Scale,SAT,Wechsler Adult Intelligence Scale,,
Which intelligence is associated with gardening and biology?,Linguistic,Musical,Naturalistic,Intrapersonal,Naturalistic,,
What is a key ability of linguistic intelligence?,Painting,Speaking and writing well,Dancing,Calculating,Speaking and writing well,,
What kind of AI is used in recommendation systems?,Narrow AI,General AI,Strong AI,Organic AI,Narrow AI,,
What does an IQ of 130+ indicate?,Below average,Gifted,Disabled,Unemotional,Gifted,,
What is one benefit of high EQ?,Better muscle memory,Better emotional regulation,Better calculation speed,Faster walking,Better emotional regulation,,
Which intelligence would help a sculptor?,Logical,Spatial,Naturalistic,Linguistic,Spatial,,
What part of intelligence helps in puzzle solving?,Emotional,Musical,Logical reasoning,Physical strength,Logical reasoning,,
Which intelligence helps you work well in groups?,Interpersonal,Intrapersonal,Kinesthetic,Naturalistic,Interpersonal,,
What is the name of the test used to measure children’s intelligence?,SAT,Wechsler Intelligence Scale for Children,GRE,ACT,Wechsler Intelligence Scale for Children,,
What is a chatbot an example of?,Natural Intelligence,Artificial Intelligence,Manual system,Consciousness,Artificial Intelligence,,
Which of these is not an intelligence type?,Musical,Intrapersonal,Electrical,Kinesthetic,Electrical,,
What does problem-solving ability measure?,Physical strength,IQ,Reflexes,Vision,IQ,,
Who developed the Emotional Intelligence model?,Daniel Goleman,Howard Gardner,Freud,Jean Piaget,Daniel Goleman,,
What kind of intelligence do computer programmers need?,Kinesthetic,Interpersonal,Logical-Mathematical,Musical,Logical-Mathematical,,
Which intelligence is used in public speaking?,Intrapersonal,Linguistic,Naturalistic,Musical,Linguistic,,
What is the ability to monitor one’s emotions called?,Empathy,Self-awareness,EQ,Memory,Self-awareness,,
What helps a chess player succeed?,Musical intelligence,Kinesthetic intelligence,Logical intelligence,Naturalistic intelligence,Logical intelligence,,
What is a major domain of artificial intelligence?,Sports,Cooking,Machine Learning,Dancing,Machine Learning,,
What intelligence is important for poets?,Visual,Kinesthetic,Linguistic,Spatial,Linguistic,,
What is the ability to understand space and distance?,Musical intelligence,Spatial intelligence,Logical intelligence,Emotional intelligence,Spatial intelligence,,
Which is NOT part of Sternberg’s intelligence types?,Creative,Analytical,Practical,Physical,Physical,,
Which intelligence is useful for athletes?,Visual,Musical,Bodily-kinesthetic,Linguistic,Bodily-kinesthetic,,
What intelligence do therapists need most?,Logical,Interpersonal,Musical,Spatial,Interpersonal,,
What is the full form of AI?,Automatic Input,Artificial Intelligence,Adaptive Intelligence,Analog Inference,Artificial Intelligence,,
Which field is most connected to emotional intelligence?,Art,Physics,Psychology,Biology,Psychology,,
Which intelligence would a botanist use most?,Intrapersonal,Musical,Kinesthetic,Naturalistic,Naturalistic,,
Which intelligence relates to awareness of one’s own feelings?,Interpersonal,Intrapersonal,Kinesthetic,Logical,Intrapersonal,,
Which kind of intelligence do actors commonly have?,Naturalistic,Linguistic,Kinesthetic,Interpersonal,Interpersonal,,
Which psychologist is known for the concept of intelligence quotient?,Freud,Alfred Binet,Skinner,Maslow,Alfred Binet,,
What is one goal of AI research?,Human emotion replacement,Simulate biological processes,Develop intelligent machines,Replace nature,Develop intelligent machines,,
Which is an example of visual-spatial intelligence?,Listening to music,Solving a maze,Writing a speech,Doing math,Solving a maze,,
Which intelligence is most used in cooking?,Musical,Bodily-kinesthetic,Naturalistic,Linguistic,Bodily-kinesthetic,,
Which intelligence is crucial for dancers?,Intrapersonal,Linguistic,Bodily-kinesthetic,Spatial,Bodily-kinesthetic,,
What is the term for the ability to understand others?,Intrapersonal,Empathy,Memory,Logic,Empathy,,
Which intelligence helps someone learn from past mistakes?,Kinesthetic,Intrapersonal,Naturalistic,Linguistic,Intrapersonal,,
Which intelligence allows composing a song?,Linguistic,Logical,Musical,Kinesthetic,Musical,,
What type of learning is AI involved in?,Experiential,Instinctive,Machine,Verbal,Machine,,
Which part of intelligence relates to curiosity and learning?,IQ,EQ,Motivation,Focus,Motivation,,
Which intelligence do mathematicians rely on?,Linguistic,Musical,Logical-Mathematical,Intrapersonal,Logical-Mathematical,,
Which is a benefit of strong emotional intelligence?,Better vocabulary,Faster reflexes,Improved relationships,Higher vision,Improved relationships,,
What is another word for quick thinking?,Wisdom,Agility,Wit,Logic,Wit,,
Which skill is improved by high spatial intelligence?,Reading emotions,Recognizing faces,Solving riddles,Reading maps,Reading maps,,
What is one feature of AI systems?,Emotion,Consciousness,Learning ability,Digestion,Learning ability,,
Which intelligence allows understanding the natural world?,Linguistic,Naturalistic,Kinesthetic,Logical,Naturalistic,,
What intelligence is most useful in designing buildings?,Linguistic,Kinesthetic,Spatial,Naturalistic,Spatial,,
What type of intelligence does a scientist use?,Linguistic,Naturalistic,Logical-mathematical,Musical,Logical-mathematical,,
Which intelligence allows accurate self-reflection?,Interpersonal,Intrapersonal,Spatial,Naturalistic,Intrapersonal,,
Which of these is a high EQ trait?,Strong memory,Muscle strength,Empathy,Fast reading,Empathy,,
Which intelligence would a wildlife expert have?,Linguistic,Musical,Naturalistic,Intrapersonal,Naturalistic,,
Who is considered the father of psychoanalysis?,Carl Jung,Sigmund Freud,B.F. Skinner,Jean Piaget,Sigmund Freud,,
"Which philosopher said ""I think"," therefore I am""?",Socrates,Descartes,Plato,Aristotle,,
What psychological approach focuses on observable behavior?,Psychoanalysis,Humanism,Behaviorism,Cognitive psychology,Behaviorism,,
What is the term for a fear without a known cause?,Trauma,Phobia,Anxiety,Panic disorder,Anxiety,,
Who developed classical conditioning?,Freud,Pavlov,Maslow,Erikson,Pavlov,,
What is the study of knowledge called?,Metaphysics,Ethics,Epistemology,Ontology,Epistemology,,
What is Maslow’s highest level of needs?,Love and belonging,Esteem,Safety,Self-actualization,Self-actualization,,
Which philosopher is known for the Allegory of the Cave?,Plato,Aristotle,Kant,Hume,Plato,,
Which psychological test measures IQ?,Rorschach Test,Stanford-Binet Test,MMPI,TAT,Stanford-Binet Test,,
Who is known for the hierarchy of needs?,Freud,Jung,Maslow,Skinner,Maslow,,
Which school of thought believes in free will and self-actualization?,Behaviorism,Psychoanalysis,Cognitivism,Humanism,Humanism,,
Who is the founder of analytical psychology?,Freud,Skinner,Jung,Erikson,Jung,,
What is the main focus of existentialism?,Logic,Morality,Freedom and choice,Science,Freedom and choice,,
What is the term for learning through observation?,Habituation,Conditioning,Modeling,Reinforcement,Modeling,,
"Who wrote ""The Republic""?",Socrates,Plato,Aristotle,Kant,Plato,,
"Which philosopher emphasized the ""will to power""?",Hegel,Kierkegaard,Nietzsche,Descartes,Nietzsche,,
What is cognitive dissonance?,Harmony in beliefs and actions,Conflict between beliefs and behavior,Memory loss,Lack of awareness,Conflict between beliefs and behavior,,
Who proposed the stages of cognitive development?,Freud,Bandura,Piaget,Skinner,Piaget,,
What is the study of being called?,Epistemology,Ethics,Ontology,Logic,Ontology,,
"Which philosopher believed in the ""tabula rasa"" (blank slate)?",Kant,Locke,Hume,Plato,Locke,,
Who created the concept of the unconscious mind?,Freud,Maslow,Erikson,Jung,Freud,,
Which branch of psychology deals with mental disorders?,Clinical psychology,Social psychology,Industrial psychology,Developmental psychology,Clinical psychology,,
Who said “Man is condemned to be free”?,Camus,Nietzsche,Sartre,Kant,Sartre,,
Which concept refers to selfless concern for others?,Narcissism,Altruism,Egoism,Hedonism,Altruism,,
What is the term for a mental shortcut in decision-making?,Bias,Heuristic,Stereotype,Assumption,Heuristic,,
Which philosopher emphasized reason as the source of knowledge?,Descartes,Aristotle,Hume,Socrates,Descartes,,
What is the primary method used in phenomenology?,Experimentation,Observation,Introspection,Reduction,Introspection,,
What part of the mind operates on the pleasure principle?,Id,Ego,Super-ego,Conscious,Id,,
Who founded behaviorism?,Freud,Skinner,Jung,Watson,Watson,,
Which philosopher is famous for the “Categorical Imperative”?,Kant,Locke,Hegel,Rousseau,Kant,,
What is the fear of social situations called?,Agoraphobia,Claustrophobia,Social Anxiety,Generalized Anxiety Disorder,Social Anxiety,,
What is the function of the ego in Freudian theory?,Act impulsively,Balance id and superego,Create dreams,Store trauma,Balance id and superego,,
Which type of psychology studies lifespan development?,Clinical psychology,Social psychology,Developmental psychology,Cognitive psychology,Developmental psychology,,
"Which philosopher believed in ""forms"" or ""ideals""?",Kant,Plato,Aristotle,Hume,Plato,,
What is a common symptom of depression?,Excessive laughter,Hyperactivity,Lack of interest,Improved memory,Lack of interest,,
"Which philosopher is known for the ""Veil of Ignorance""?",Rousseau,Rawls,Hume,Marx,Rawls,,
Who created operant conditioning?,Freud,Skinner,Erikson,Jung,Skinner,,
What type of memory holds information briefly?,Long-term memory,Procedural memory,Short-term memory,Implicit memory,Short-term memory,,
What does the term “ethics” refer to?,Logic of language,Nature of science,Moral principles,Spiritual beliefs,Moral principles,,
Which philosopher said “God is dead”?,Socrates,Hume,Nietzsche,Kierkegaard,Nietzsche,,
What is the defense mechanism of reverting to childlike behavior?,Projection,Regression,Repression,Denial,Regression,,
What is an inferiority complex?,Superiority feeling,Lack of intelligence,Deep feeling of inadequacy,Physical weakness,Deep feeling of inadequacy,,
What is the term for interpreting new information using existing ideas?,Assimilation,Accommodation,Integration,Generalization,Assimilation,,
Which psychologist developed the 8 stages of psychosocial development?,Freud,Erikson,Maslow,Jung,Erikson,,
What is the term for pleasure-seeking principle?,Morality principle,Reality principle,Pleasure principle,Control principle,Pleasure principle,,
